country_code,year,week,rate_14_day,pps
CY,2021,7,155.07817465361637,94
CY,2021,8,214.1029396322558,94
CY,2021,9,338.4528658512996,94
CY,2021,10,493.30997396941547,94
CY,2021,11,569.1357956460946,94
CY,2021,12,539.1812800857738,94
CY,2021,13,588.5896507701406,94
CY,2021,14,746.3206238497631,94
CY,2021,15,909.7993268523994,94
CY,2021,16,1157.3938466129844,94
CY,2021,17,1171.5421048850178,94
CY,2021,18,828.1152419849565,94
CY,2021,19,506.02129976069546,94
CY,2021,20,287.93916248943026,94
CY,2021,21,162.9260366638849,94
CY,2021,22,103.90127168524546,94
CY,2021,23,90.52674628746388,94
CY,2021,24,97.49034215573032,94
CY,2021,25,174.6425630454126,94
CY,2021,26,486.1253115656485,94
CY,2021,27,1099.0322812408465,94
CY,2021,28,1640.7558264848765,94
CY,2021,29,1713.2656501290476,94
CY,2021,30,1402.2250346798128,94
CY,2021,31,975.7876876993053,94
CY,2021,32,709.7341122244268,94
CY,2021,33,573.6676596238553,94
CY,2021,34,444.2332030882995,94
CY,2021,35,367.7441818051188,94
CY,2021,36,286.50223000867686,94
CY,2021,37,214.65560597100716,94
CY,2021,38,174.42149650991206,94
CY,2021,39,147.67244571434887,94
CY,2021,40,149.6620445338536,94
CY,2021,41,177.40589473916913,94
CY,2021,42,201.83374691197685,94
CY,2021,43,214.1029396322558,94
CY,2021,44,266.27464201037907,94
CY,2021,45,334.9158012832912,94
CY,2021,46,443.5700034817979,94
CY,2021,47,587.7053846281384,94
CY,2021,48,717.5819742346953,94
CY,2021,49,819.935780171437,94
CY,2021,50,885.7030744828425,94
CY,2021,51,1030.3911219679344,94
CY,2021,52,2410.620036365445,94
CY,2022,1,5587.56721804345,94
CY,2022,2,6077.561193980358,94
CY,2022,3,3977.4291067253967,94
CY,2022,4,3459.3596807799227,94
CY,2022,5,3971.570843534633,94
CY,2022,6,4143.229008350789,94
CY,2022,7,3735.913916691076,94
CY,2022,8,3263.82633012971,94
CY,2022,9,2981.0822312245427,94
CY,2022,10,3554.1972245096467,94
CY,2022,11,4720.212666007152,94
CY,2022,12,6103.315445366169,94
CY,2022,13,6843.7778060251685,94
CY,2022,14,5393.028666802991,94
CY,2022,15,3018.442475724131,94
CY,2022,16,1541.165352241891,94
CY,2022,17,944.8383727292322,94
CY,2022,18,693.9278549361394,94
CY,2022,19,525.0330218137404,94
CY,2022,20,438.59600643303617,94
CY,2022,21,384.766305038659,94
CY,2022,22,373.60244499588265,94
CY,2022,23,442.1330710010445,94
CY,2022,24,721.7822384092052,94
CY,2022,25,1342.9792031656727,94
CY,2022,26,2173.4156437733845,94
CY,2022,27,2970.249970985017,94
CY,2022,28,3161.472524192969,94
CY,2022,29,2441.6798846032684,94
CY,2022,30,1604.8325144660414,94
CY,2022,31,1189.6695607960603,94
CY,2022,32,854.4221597095186,94
CY,2022,33,549.6819405220486,94
CY,2022,34,447.3281345853068,94
CY,2022,35,416.3788196152337,94
CY,2022,36,409.30469047921696,94
CY,2022,37,497.3997048761751,94
CY,2022,38,600.8588434904195,94
CY,2022,39,602.737909042174,94
CY,2022,40,587.3737848248877,94
CY,2022,41,607.822439358686,94
CY,2022,42,598.6481781354144,94
CY,2022,43,592.4583151413997,94
CY,2022,44,716.3661082894424,94
CY,2022,45,795.3973947308791,94
CY,2022,46,795.5079279986294,94
CY,2022,47,863.48588766504,94
CY,2022,48,894.6562691706137,94
CY,2022,49,836.9579034049773,94
CY,2022,50,748.0891561337673,94
CY,2022,51,649.714547836035,94
CY,2022,52,597.4323121901614,94
CY,2023,1,671.6001348505866,95
CY,2023,2,721.3401053382041,95
CY,2023,3,607.1592397521844,95
CY,2023,4,439.0381395040373,95
CY,2023,5,339.7792650643027,95
CY,2023,6,294.23955875119515,95
CY,2023,7,319.8832768692557,95
CY,2023,8,409.63629028246777,95
CY,2023,9,403.9990936272045,95
CY,2023,10,333.4788688025378,95
CY,2023,11,280.9755666211638,95
CY,2023,12,226.5931988880353,95
CY,2023,13,216.86627132601237,95
CY,2023,14,249.80518511559015,95
CY,2023,15,223.498267391028,95
CY,2023,16,203.27067939273024,95
CY,2023,17,250.68945125759225,95
CY,2023,18,259.0899796066121,95
CY,2023,19,254.2265158256006,95
CY,2023,20,243.61532212157556,95
CY,2023,21,204.59707860573337,95
