country_code,year,week,rate_14_day,pps
CY,2023,4,18.790655517544398,95
CY,2023,5,8.84266142002089,95
CY,2023,6,4.421330710010445,95
CY,2023,7,7.737328742518279,95
CY,2023,8,8.84266142002089,95
CY,2023,9,4.421330710010445,95
CY,2023,10,0.0,95
CY,2023,11,0.0,95
CY,2023,12,0.0,95
CY,2023,13,0.0,95
CY,2023,14,3.315998032507834,95
CY,2023,15,4.421330710010445,95
CY,2023,16,1.105332677502611,95
CY,2023,17,0.0,95
CY,2023,18,2.2106653550052227,95
CY,2023,19,3.315998032507834,95
CY,2023,20,1.105332677502611,95
CY,2023,21,0.0,95
CY,2023,22,0.0,95
CY,2023,23,0.0,95
CY,2023,24,0.0,95
CY,2023,25,0.0,95
CY,2023,26,0.0,95
CY,2023,27,0.0,95
CY,2023,28,0.0,95
CY,2023,29,0.0,95
CY,2023,30,0.0,95
CY,2023,31,0.0,95
CY,2023,34,0.0,95
CY,2023,35,0.0,95
CY,2023,36,0.0,95
CY,2023,37,0.0,95
CY,2023,38,0.0,95
CY,2023,39,0.0,95
CY,2023,40,0.0,95
CY,2023,41,0.0,95
DK,2020,2,0.0,133
DK,2020,3,0.0,133
DK,2020,4,0.0,133
DK,2020,5,0.0,133
DK,2020,6,0.0,133
DK,2020,7,0.0,133
DK,2020,8,0.0,133
DK,2020,9,0.0,133
DK,2020,10,0.3405171092821559,133
DK,2020,11,3.915946756744793,133
DK,2020,12,16.51507980018456,133
DK,2020,13,32.00860827252265,133
DK,2020,14,40.01076034065331,133
DK,2020,15,31.32757405395834,133
DK,2020,16,20.260768002288277,133
DK,2020,17,20.941802220852587,133
DK,2020,18,16.344821245543482,133
DK,2020,19,8.002152068130663,133
DK,2020,20,4.4267224206680265,133
DK,2020,21,4.086205311385871,133
DK,2020,22,4.086205311385871,133
DK,2020,23,2.0431026556929357,133
DK,2020,24,1.3620684371286236,133
DK,2020,25,1.7025855464107793,133
DK,2020,26,0.8512927732053897,133
DK,2020,27,0.6810342185643118,133
DK,2020,28,1.0215513278464676,133
DK,2020,29,0.6810342185643118,133
DK,2020,30,0.8512927732053897,133
DK,2020,31,1.1918098824875456,133
DK,2020,32,0.6810342185643118,133
DK,2020,33,0.6810342185643118,133
DK,2020,34,1.1918098824875456,133
DK,2020,35,0.6810342185643118,133
DK,2020,36,0.6810342185643118,133
DK,2020,37,3.4051710928215586,133
DK,2020,38,4.596980975309104,133
DK,2020,39,3.7456882021037146,133
DK,2020,40,3.5754296474626366,133
DK,2020,41,4.596980975309104,133
DK,2020,42,6.129307967078806,133
DK,2020,43,6.810342185643117,133
DK,2020,44,8.002152068130663,133
DK,2020,45,9.534479059900365,133
DK,2020,46,10.896547497028989,133
DK,2020,47,14.812494253773782,133
DK,2020,48,18.387923901236416,133
DK,2020,49,21.793094994057977,133
DK,2020,50,12.428874488798687,133
DK,2020,51,0.0,133
DK,2020,52,0.0,133
DK,2020,53,0.0,133
DK,2021,1,0.0,135
DK,2021,2,0.0,135
DK,2021,3,0.0,135
DK,2021,4,0.0,135
DK,2021,5,0.0,135
DK,2021,6,0.0,135
DK,2021,7,0.0,135
DK,2021,8,0.0,135
DK,2021,9,0.0,135
DK,2021,10,0.0,135
DK,2021,11,0.0,135
DK,2021,12,0.0,135
DK,2021,13,0.0,135
DK,2021,14,0.0,135
DK,2021,15,0.0,135
DK,2021,16,0.0,135
DK,2021,17,0.0,135
DK,2021,18,0.0,135
DK,2021,19,0.0,135
